#activ	triangular	sobol	LHS	Uniform_Random	Grid
1	3.2060262e+24	5.505781e+24	9.851631e+19	1.1596881e+25	1.0306394e+26
2	4.192351e+24	3.888767e+24	8.9901595e+19	1.0458649e+25	1.0740006e+26
3	1.2058285e+24	3.1797907e+24	1.0284279e+20	9.980806e+24	7.2088986e+25
4	9.50663e+21	2.99159e+24	1.238597e+20	1.0045309e+25	7.1695544e+25
5	2.1608169e+24	2.7439996e+24	8.973638e+19	1.0275785e+25	7.1873828e+25
6	1.3039165e+24	2.3575482e+24	8.188588e+19	1.0166807e+25	6.8632467e+25
7	1.7871276e+23	2.298036e+24	8.1260885e+19	1.061333e+25	7.2317675e+25	
8	2.1963938e+22	2.0378225e+24	7.8157315e+19	7.669977e+24	6.758089e+25
9	1.0382065e+23	1.9259434e+24	8.621052e+19	7.121274e+24	8.071464e+25

#1000 epochs train - 10 time step march - 1000 collocations points
#1-Grid
#2-Uniform_Random
#3-LHS
#4-Sobol
#5-Triangular
